=========================================
This for gpu 0
=========================================
937
step=0	smmoth=1.166443	cost=2.664430	acc:0.125000
step=1	smmoth=1.493546	cost=4.437474	acc:0.171875
step=2	smmoth=1.734720	cost=3.905285	acc:0.171875
step=3	smmoth=1.960383	cost=3.991352	acc:0.140625
step=4	smmoth=1.997828	cost=2.334830	acc:0.187500
step=5	smmoth=2.000856	cost=2.028106	acc:0.328125
step=6	smmoth=1.989149	cost=1.883793	acc:0.359375
step=7	smmoth=1.972597	cost=1.823628	acc:0.593750
step=8	smmoth=1.935378	cost=1.600400	acc:0.515625
step=9	smmoth=1.904499	cost=1.626594	acc:0.578125
step=10	smmoth=1.857812	cost=1.437625	acc:0.546875
step=11	smmoth=1.821286	cost=1.492550	acc:0.406250
step=12	smmoth=1.847561	cost=2.084039	acc:0.390625
step=13	smmoth=1.847984	cost=1.851795	acc:0.500000
step=14	smmoth=1.808064	cost=1.448782	acc:0.406250
step=15	smmoth=1.781222	cost=1.539642	acc:0.437500
step=16	smmoth=1.772340	cost=1.692402	acc:0.468750
step=17	smmoth=1.731344	cost=1.362375	acc:0.609375
step=18	smmoth=1.684049	cost=1.258396	acc:0.578125
step=19	smmoth=1.679335	cost=1.636915	acc:0.390625
step=20	smmoth=1.709780	cost=1.983783	acc:0.406250
step=21	smmoth=1.787432	cost=2.486295	acc:0.328125
step=22	smmoth=1.800289	cost=1.916007	acc:0.375000
step=23	smmoth=1.769073	cost=1.488127	acc:0.656250
step=24	smmoth=1.747462	cost=1.552961	acc:0.390625
step=25	smmoth=1.747069	cost=1.743537	acc:0.359375
step=26	smmoth=1.727016	cost=1.546532	acc:0.390625
step=27	smmoth=1.716619	cost=1.623049	acc:0.484375
step=28	smmoth=1.684246	cost=1.392886	acc:0.562500
step=29	smmoth=1.648987	cost=1.331657	acc:0.546875
step=30	smmoth=1.610939	cost=1.268508	acc:0.593750
step=31	smmoth=1.551794	cost=1.019490	acc:0.609375
step=32	smmoth=1.501492	cost=1.048775	acc:0.609375
step=33	smmoth=1.450328	cost=0.989846	acc:0.671875
step=34	smmoth=1.377329	cost=0.720346	acc:0.828125
step=35	smmoth=1.339648	cost=1.000521	acc:0.640625
step=36	smmoth=1.291928	cost=0.862448	acc:0.718750
step=37	smmoth=1.244800	cost=0.820643	acc:0.703125
step=38	smmoth=1.224156	cost=1.038361	acc:0.640625
step=39	smmoth=1.177542	cost=0.758015	acc:0.796875
step=40	smmoth=1.139731	cost=0.799435	acc:0.718750
step=41	smmoth=1.086610	cost=0.608515	acc:0.859375
step=42	smmoth=1.032993	cost=0.550448	acc:0.828125
step=43	smmoth=1.009032	cost=0.793380	acc:0.765625
step=44	smmoth=1.013653	cost=1.055244	acc:0.609375
step=45	smmoth=1.045122	cost=1.328345	acc:0.656250
step=46	smmoth=1.068439	cost=1.278288	acc:0.546875
step=47	smmoth=1.081893	cost=1.202978	acc:0.671875
step=48	smmoth=1.092659	cost=1.189558	acc:0.609375
step=49	smmoth=1.114106	cost=1.307128	acc:0.484375
step=50	smmoth=1.100205	cost=0.975096	acc:0.703125
step=51	smmoth=1.132224	cost=1.420388	acc:0.578125
step=52	smmoth=1.147669	cost=1.286676	acc:0.562500
step=53	smmoth=1.127396	cost=0.944940	acc:0.812500
step=54	smmoth=1.084588	cost=0.699314	acc:0.812500
step=55	smmoth=1.043868	cost=0.677393	acc:0.765625
step=56	smmoth=1.008892	cost=0.694101	acc:0.828125
step=57	smmoth=0.992582	cost=0.845800	acc:0.718750
step=58	smmoth=0.971899	cost=0.785751	acc:0.796875
step=59	smmoth=0.978681	cost=1.039720	acc:0.656250
step=60	smmoth=1.018299	cost=1.374858	acc:0.593750
step=61	smmoth=1.009367	cost=0.928982	acc:0.687500
step=62	smmoth=1.003287	cost=0.948561	acc:0.687500
step=63	smmoth=0.998198	cost=0.952405	acc:0.750000
step=64	smmoth=0.967440	cost=0.690614	acc:0.781250
step=65	smmoth=0.935737	cost=0.650408	acc:0.718750
step=66	smmoth=0.913051	cost=0.708882	acc:0.750000
step=67	smmoth=0.902381	cost=0.806345	acc:0.718750
step=68	smmoth=0.849242	cost=0.370998	acc:0.921875
step=69	smmoth=0.813307	cost=0.489893	acc:0.875000
step=70	smmoth=0.783623	cost=0.516458	acc:0.765625
step=71	smmoth=0.759606	cost=0.543462	acc:0.765625
step=72	smmoth=0.777618	cost=0.939723	acc:0.750000
step=73	smmoth=0.785617	cost=0.857607	acc:0.703125
step=74	smmoth=0.788930	cost=0.818746	acc:0.750000
step=75	smmoth=0.753743	cost=0.437063	acc:0.890625
step=76	smmoth=0.743281	cost=0.649122	acc:0.812500
